,price,longitude,latitude,review_scores_rating,number_of_reviews,minimum_nights,security_deposit,cleaning_fee,accommodates,bathrooms,bedrooms,beds,availability_365,host_identity_verified,host_is_superhost,bedrooms_per_person,bathrooms_per_person,past_and_future_popularity,Bondi,Bondi Beach,Coogee,Darlinghurst,Manly,North Bondi,Randwick,Redfern,Surry Hills,Sydney,Apartment,Bed and breakfast,Boutique hotel,Bungalow,Condominium,Cottage,Guest suite,Guesthouse,Hostel,Hotel,House,Loft,Other,Serviced apartment,Townhouse,Villa,Entire home/apt,Hotel room,Private room,Shared room,flexible,luxury_moderate,moderate,strict_14_with_grace_period,super_strict_30,super_strict_60
98,81.0,151.21563,-33.88157,96.0,40.0,2.0,300.0,30.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
107,150.0,151.27406000000002,-33.88958,94.0,26.0,4.0,750.0,120.0,2.0,1.0,0.0,1.0,309.0,1.0,1.0,0.0,0.5,0.08387096774193549,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
117,134.0,151.26258,-33.89306,89.0,108.0,2.0,300.0,80.0,2.0,1.0,1.0,1.0,291.0,0.0,0.0,0.5,0.5,0.3698630136986301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
118,140.0,151.26277,-33.892959999999995,92.0,89.0,2.0,400.0,85.0,2.0,1.0,1.0,1.0,253.0,0.0,0.0,0.5,0.5,0.35039370078740156,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
121,375.0,151.2761,-33.88622,93.0,13.0,5.0,1000.0,100.0,9.0,2.0,4.0,7.0,17.0,1.0,0.0,0.4444444444444444,0.2222222222222222,0.7222222222222222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
122,220.0,151.21264,-33.88517,95.0,40.0,2.0,700.0,100.0,4.0,1.5,2.0,2.0,258.0,1.0,1.0,0.5,0.375,0.15444015444015444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
123,148.0,151.21121000000002,-33.882909999999995,98.0,328.0,2.0,200.0,50.0,2.0,1.0,1.0,1.0,41.0,1.0,1.0,0.5,0.5,7.809523809523809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
125,111.0,151.25293,-33.92062,96.0,245.0,1.0,0.0,30.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.5,245.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
127,137.0,151.20172,-33.88926,98.0,511.0,1.0,300.0,87.0,4.0,1.0,1.0,1.0,63.0,0.0,1.0,0.25,0.25,7.984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
128,70.0,151.21312,-33.87664,90.0,166.0,2.0,500.0,70.0,1.0,1.0,1.0,1.0,89.0,0.0,0.0,1.0,1.0,1.8444444444444446,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
